S1Code,S1Ware,S1long,S1lat,S2Code,S2Ware,S2long,S2lat,JacDissim,JacSim
SC,SC-BPW,55.00055556,36.49972222,HC,HC-CN,53.332575,36.7631,0.285714286,1
SC,SC-BPW,55.00055556,36.49972222,HC,HC-T1,53.332575,36.7631,0.2,1
TS3,TS3-SRW,51.40472222,33.96888889,TS3,TS3-SRW,51.40472222,33.96888889,0,0
TE,TE-SRW,50.011,36.146,CM,CM-SRW,48.555928,32.224015,0.333333333,2
TE,TE-SRW,50.011,36.146,CB1,CB1-RW,49.9787,35.7806,0.333333333,2
TRA,TRA-SW,53.05774722,30.11208333,TE,TE-SRW,50.011,36.146,0.333333333,2
TRA,TRA-SW,53.05774722,30.11208333,CM,CM-SRW,48.555928,32.224015,0,2
TRA,TRA-SW,53.05774722,30.11208333,CB1,CB1-RW,49.9787,35.7806,0,2
CM,CM-SRW,48.555928,32.224015,CB1,CB1-RW,49.9787,35.7806,0,2
TB2,TB2-ST,52.59,30.08,HC,HC-T2,53.332575,36.7631,0,7
TM2,TM2-KCW,52.67156944,30.17562222,TB3,TB3-JPL,52.94243333,29.82901389,0,3
QT,QT-PA,44.75538889,38.21327778,AT,AT-PA,44.75538889,38.21327778,0,4
TZ,TZ-AP,49.95123889,35.81657194,AT,AT-PA,44.75538889,38.21327778,0.3,4
TZ,TZ-AP,49.95123889,35.81657194,QT,QT-PA,44.75538889,38.21327778,0.3,4
QT,QT-PL,44.75538889,38.21327778,AT,AT-PL,44.75538889,38.21327778,0,5
TZ,TZ-C,49.95123889,35.81657194,TZ,TZ-C,49.95123889,35.81657194,0,5
TG,TG-GBW,47.09775,33.75661944,TG,TG-GBW,47.09775,33.75661944,0,0
TB2,TB2-ST,52.59,30.08,HC,HC-T2,53.332575,36.7631,0,6
