Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfacePale,SurfaceLight,SurfaceMod,SurfaceDark,SlipPale,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintPale,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
AK,Ali Kosh,AK-JPA,Jaffar Painted,47.32492222,32.55781389,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
AK,Ali Kosh,AK-JPL,Jaffar Plain,47.32492222,32.55781389,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
AK,Ali Kosh,AK-KR,Khazineh Red,47.32492222,32.55781389,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
AR,Arsanjan Cave Sites,AR-SW,Soft Ware,53.40545556,29.86275833,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
AT,Ahrendjan Tepe,AT-PA,AQT Tradition Painted,44.75538889,38.21327778,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
AT,Ahrendjan Tepe,AT-PL,AQT Tradition Plain ,44.75538889,38.21327778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Tol-e Bizdan,B-B,Bizdan,54.40972222,28.64277778,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
BC,Belt Cave,BC-D,Djeitun,53.332575,36.7631,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
BC,Belt Cave,BC-SN,Software Neolithic,53.332575,36.7631,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CA,Cheshmeh Ali,CA-PABW,Painted Buff Ware,51.445895,35.60760056,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
CA,Cheshmeh Ali,CA-PLBW,Plain Buff Ware,51.445895,35.60760056,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CB1,Chahar Boneh,CB1-PBW,Painted Buff Ware,49.9787,35.7806,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CB1,Chahar Boneh,CB1-RW,Red Ware,49.9787,35.7806,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CB1,Chahar Boneh,CB1-SBW,Simple Buff Ware,49.9787,35.7806,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CB2,Chogha Bonut,CB2-BBP,Broad Band-painted,48.505855,32.221305,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
CB2,Chogha Bonut,CB2-BCP,Black-on-Cream Painted,48.505855,32.221305,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
CB2,Chogha Bonut,CB2-MCP,Maroon-on-Cream Painted,48.505855,32.221305,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
