Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfaceVeryLight,SurfaceLight,SurfaceMod,SurfaceDark,SlipVeryLight,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintVeryLight,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
AR,Arsanjan Cave Sites,AR-SW,Soft Ware,53.40545556,29.86275833,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
H,Hormangan,H-PA,Painted,53.51537389,30.50747583,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
KH,Kushk-e Hezar,KH-BB,Black on Buff,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
KH,Kushk-e Hezar,KH-BBR,Black on Buff with Red Slip,52.06511333,29.88179778,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
KH,Kushk-e Hezar,KH-BRPW,Burnished Red Painted Ware,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
KH,Kushk-e Hezar,KH-BW,Black on White,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
KH,Kushk-e Hezar,KH-RB,Red on Buff,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
MS10,MS10,MS10-CW,Common Wares,51.32983333,30.35716667,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
MS11,MS11,MS11-CW,Common Wares,51.33366667,30.35426667,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
MS20,MS20,MS20-CW,Common Wares,51.33611667,30.353,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TJ1,Tal-e Jari,TJ1-BPBW,B Painted Buff Ware,52.93935833,29.83546667,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TK1,Tal-e Kutahi,TK1-JW,Jari Ware,52.50527778,29.58277778,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TK1,Tal-e Kutahi,TK1-KW,Kutahi Ware,52.50527778,29.58277778,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
