Sites,Site Code,Long,Lat,Line with Dot,Bashi Motif,Bashi Variant,Hook/Chain,Ladder,Stripes/Lozenge,TMB,Bands,Bichrome Bands,Fine Hatching/Boxed Lines,Cross Hatched Bands,Cross Hatching,‘Tartan’ Cross Hatching,Fine Lines,Thick Lines,Zig-zag Lines,Stepped Lines,Reserve Zig-zag,Reserve Zig-zag with Central Lines,Diamonds,Solid Triangles,Solid Triangles with lines,Dots,Swoosh
Arsanjan,AR,53.40545556,29.86275833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tol-e Bizdan,B,54.40972222,28.64277778,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hormangan,H,53.51537389,30.50747583,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Kushk-e Hazar,KH,52.06511333,29.88179778,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1
MS10,MS10,51.32983333,30.35716667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS11,MS11,51.33366667,30.35426667,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0
MS20,MS20,51.33611667,30.353,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Tol-e Bashi,TB2,52.59,30.08,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tal-e Jari,TJ1,52.93935833,29.83546667,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
Tol-e Jalyan,TJ2,52.884524,29.944845,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Tal-e Kutahi,TK1,52.50527778,29.58277778,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Tang-e Kiareh,TK2,52.44198611,29.91753611,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Tal-e Mushki,TM1,52.96494722,29.81067222,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Tol-e Mianrud,TM2,52.884524,29.944845,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Tol-e Nurabad,TNU,51.52121667,30.1224,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0
Tol-e Qasr-e Ahmad ,TQA,52.76638889,29.17416667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Tepe Rahmat Abad,TRA,53.05774722,30.11208333,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tol-e Sabz,TS1,52.44638889,28.85666667,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tol-e Sangi,TS4,52.65,29.56138889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
