"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"H","H-PA","53.51537389","30.50747583","AR","AR-SW","53.40545556","29.86275833","0.75","0.25"
"KH","KH-BB","52.06511333","29.88179778","AR","AR-SW","53.40545556","29.86275833","0","1"
"KH","KH-BB","52.06511333","29.88179778","H","H-PA","53.51537389","30.50747583","0.75","0.25"
"KH","KH-BBR","52.06511333","29.88179778","AR","AR-SW","53.40545556","29.86275833","0.333333333333333","0.666666666666667"
"KH","KH-BBR","52.06511333","29.88179778","H","H-PA","53.51537389","30.50747583","0.666666666666667","0.333333333333333"
"KH","KH-BBR","52.06511333","29.88179778","KH","KH-BB","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"KH","KH-BRPW","52.06511333","29.88179778","AR","AR-SW","53.40545556","29.86275833","0.5","0.5"
"KH","KH-BRPW","52.06511333","29.88179778","H","H-PA","53.51537389","30.50747583","0.9","0.1"
"KH","KH-BRPW","52.06511333","29.88179778","KH","KH-BB","52.06511333","29.88179778","0.5","0.5"
"KH","KH-BRPW","52.06511333","29.88179778","KH","KH-BBR","52.06511333","29.88179778","0.625","0.375"
"KH","KH-BW","52.06511333","29.88179778","AR","AR-SW","53.40545556","29.86275833","0","1"
"KH","KH-BW","52.06511333","29.88179778","H","H-PA","53.51537389","30.50747583","0.75","0.25"
"KH","KH-BW","52.06511333","29.88179778","KH","KH-BB","52.06511333","29.88179778","0","1"
"KH","KH-BW","52.06511333","29.88179778","KH","KH-BBR","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"KH","KH-BW","52.06511333","29.88179778","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"KH","KH-RB","52.06511333","29.88179778","AR","AR-SW","53.40545556","29.86275833","0.4","0.6"
"KH","KH-RB","52.06511333","29.88179778","H","H-PA","53.51537389","30.50747583","0.888888888888889","0.111111111111111"
"KH","KH-RB","52.06511333","29.88179778","KH","KH-BB","52.06511333","29.88179778","0.4","0.6"
"KH","KH-RB","52.06511333","29.88179778","KH","KH-BBR","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"KH","KH-RB","52.06511333","29.88179778","KH","KH-BRPW","52.06511333","29.88179778","0.2","0.8"
"KH","KH-RB","52.06511333","29.88179778","KH","KH-BW","52.06511333","29.88179778","0.4","0.6"
"MS10","MS10-CW","51.32983333","30.35716667","AR","AR-SW","53.40545556","29.86275833","0.625","0.375"
"MS10","MS10-CW","51.32983333","30.35716667","H","H-PA","53.51537389","30.50747583","0.7","0.3"
"MS10","MS10-CW","51.32983333","30.35716667","KH","KH-BB","52.06511333","29.88179778","0.625","0.375"
"MS10","MS10-CW","51.32983333","30.35716667","KH","KH-BBR","52.06511333","29.88179778","0.555555555555556","0.444444444444444"
"MS10","MS10-CW","51.32983333","30.35716667","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"MS10","MS10-CW","51.32983333","30.35716667","KH","KH-BW","52.06511333","29.88179778","0.625","0.375"
"MS10","MS10-CW","51.32983333","30.35716667","KH","KH-RB","52.06511333","29.88179778","0.625","0.375"
"MS11","MS11-CW","51.33366667","30.35426667","AR","AR-SW","53.40545556","29.86275833","0.625","0.375"
"MS11","MS11-CW","51.33366667","30.35426667","H","H-PA","53.51537389","30.50747583","0.7","0.3"
"MS11","MS11-CW","51.33366667","30.35426667","KH","KH-BB","52.06511333","29.88179778","0.625","0.375"
"MS11","MS11-CW","51.33366667","30.35426667","KH","KH-BBR","52.06511333","29.88179778","0.555555555555556","0.444444444444444"
"MS11","MS11-CW","51.33366667","30.35426667","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"MS11","MS11-CW","51.33366667","30.35426667","KH","KH-BW","52.06511333","29.88179778","0.625","0.375"
"MS11","MS11-CW","51.33366667","30.35426667","KH","KH-RB","52.06511333","29.88179778","0.625","0.375"
"MS11","MS11-CW","51.33366667","30.35426667","MS10","MS10-CW","51.32983333","30.35716667","0","1"
"MS20","MS20-CW","51.33611667","30.353","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"MS20","MS20-CW","51.33611667","30.353","H","H-PA","53.51537389","30.50747583","0.777777777777778","0.222222222222222"
"MS20","MS20-CW","51.33611667","30.353","KH","KH-BB","52.06511333","29.88179778","0.2","0.8"
"MS20","MS20-CW","51.33611667","30.353","KH","KH-BBR","52.06511333","29.88179778","0.428571428571429","0.571428571428571"
"MS20","MS20-CW","51.33611667","30.353","KH","KH-BRPW","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"MS20","MS20-CW","51.33611667","30.353","KH","KH-BW","52.06511333","29.88179778","0.2","0.8"
"MS20","MS20-CW","51.33611667","30.353","KH","KH-RB","52.06511333","29.88179778","0.5","0.5"
"MS20","MS20-CW","51.33611667","30.353","MS10","MS10-CW","51.32983333","30.35716667","0.5","0.5"
