"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"AR","AR-SW","53.40545556","29.86275833","AK","AK-JPA","47.32492222","32.55781389","0.625","0.375"
"AT","AT-PA","44.75538889","38.21327778","AK","AK-JPA","47.32492222","32.55781389","0.4","0.6"
"AT","AT-PA","44.75538889","38.21327778","AR","AR-SW","53.40545556","29.86275833","0.7","0.3"
"B","B-B","54.40972222","28.64277778","AK","AK-JPA","47.32492222","32.55781389","0.5","0.5"
"B","B-B","54.40972222","28.64277778","AR","AR-SW","53.40545556","29.86275833","0.714285714285714","0.285714285714286"
"B","B-B","54.40972222","28.64277778","AT","AT-PA","44.75538889","38.21327778","0.6","0.4"
"BC","BC-D","53.332575","36.7631","AK","AK-JPA","47.32492222","32.55781389","0.375","0.625"
"BC","BC-D","53.332575","36.7631","AR","AR-SW","53.40545556","29.86275833","0.333333333333333","0.666666666666667"
"BC","BC-D","53.332575","36.7631","AT","AT-PA","44.75538889","38.21327778","0.636363636363636","0.363636363636364"
"BC","BC-D","53.332575","36.7631","B","B-B","54.40972222","28.64277778","0.428571428571429","0.571428571428571"
"CA","CA-PABW","51.445895","35.60760056","AK","AK-JPA","47.32492222","32.55781389","0","1"
"CA","CA-PABW","51.445895","35.60760056","AR","AR-SW","53.40545556","29.86275833","0.625","0.375"
"CA","CA-PABW","51.445895","35.60760056","AT","AT-PA","44.75538889","38.21327778","0.4","0.6"
"CA","CA-PABW","51.445895","35.60760056","B","B-B","54.40972222","28.64277778","0.5","0.5"
"CA","CA-PABW","51.445895","35.60760056","BC","BC-D","53.332575","36.7631","0.375","0.625"
"CB1","CB1-PBW","49.9787","35.7806","AK","AK-JPA","47.32492222","32.55781389","0.625","0.375"
"CB1","CB1-PBW","49.9787","35.7806","AR","AR-SW","53.40545556","29.86275833","0","1"
"CB1","CB1-PBW","49.9787","35.7806","AT","AT-PA","44.75538889","38.21327778","0.7","0.3"
"CB1","CB1-PBW","49.9787","35.7806","B","B-B","54.40972222","28.64277778","0.714285714285714","0.285714285714286"
"CB1","CB1-PBW","49.9787","35.7806","BC","BC-D","53.332575","36.7631","0.333333333333333","0.666666666666667"
"CB1","CB1-PBW","49.9787","35.7806","CA","CA-PABW","51.445895","35.60760056","0.625","0.375"
"CB2","CB2-BBP","48.505855","32.221305","AK","AK-JPA","47.32492222","32.55781389","0.5","0.5"
"CB2","CB2-BBP","48.505855","32.221305","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"CB2","CB2-BBP","48.505855","32.221305","AT","AT-PA","44.75538889","38.21327778","0.727272727272727","0.272727272727273"
"CB2","CB2-BBP","48.505855","32.221305","B","B-B","54.40972222","28.64277778","0.571428571428572","0.428571428571428"
"CB2","CB2-BBP","48.505855","32.221305","BC","BC-D","53.332575","36.7631","0.166666666666667","0.833333333333333"
"CB2","CB2-BBP","48.505855","32.221305","CA","CA-PABW","51.445895","35.60760056","0.5","0.5"
"CB2","CB2-BBP","48.505855","32.221305","CB1","CB1-PBW","49.9787","35.7806","0.2","0.8"
"CB2","CB2-BCP","48.505855","32.221305","AK","AK-JPA","47.32492222","32.55781389","0.5","0.5"
"CB2","CB2-BCP","48.505855","32.221305","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"CB2","CB2-BCP","48.505855","32.221305","AT","AT-PA","44.75538889","38.21327778","0.727272727272727","0.272727272727273"
"CB2","CB2-BCP","48.505855","32.221305","B","B-B","54.40972222","28.64277778","0.571428571428572","0.428571428571428"
"CB2","CB2-BCP","48.505855","32.221305","BC","BC-D","53.332575","36.7631","0.166666666666667","0.833333333333333"
"CB2","CB2-BCP","48.505855","32.221305","CA","CA-PABW","51.445895","35.60760056","0.5","0.5"
"CB2","CB2-BCP","48.505855","32.221305","CB1","CB1-PBW","49.9787","35.7806","0.2","0.8"
"CB2","CB2-BCP","48.505855","32.221305","CB2","CB2-BBP","48.505855","32.221305","0","1"
"CB2","CB2-MCP","48.505855","32.221305","AK","AK-JPA","47.32492222","32.55781389","0.285714285714286","0.714285714285714"
"CB2","CB2-MCP","48.505855","32.221305","AR","AR-SW","53.40545556","29.86275833","0.5","0.5"
"CB2","CB2-MCP","48.505855","32.221305","AT","AT-PA","44.75538889","38.21327778","0.6","0.4"
"CB2","CB2-MCP","48.505855","32.221305","B","B-B","54.40972222","28.64277778","0.333333333333333","0.666666666666667"
"CB2","CB2-MCP","48.505855","32.221305","BC","BC-D","53.332575","36.7631","0.166666666666667","0.833333333333333"
"CB2","CB2-MCP","48.505855","32.221305","CA","CA-PABW","51.445895","35.60760056","0.285714285714286","0.714285714285714"
"CB2","CB2-MCP","48.505855","32.221305","CB1","CB1-PBW","49.9787","35.7806","0.5","0.5"
"CB2","CB2-MCP","48.505855","32.221305","CB2","CB2-BBP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CB2","CB2-MCP","48.505855","32.221305","CB2","CB2-BCP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CB2","CB2-MRP","48.505855","32.221305","AK","AK-JPA","47.32492222","32.55781389","0.375","0.625"
"CB2","CB2-MRP","48.505855","32.221305","AR","AR-SW","53.40545556","29.86275833","0.75","0.25"
"CB2","CB2-MRP","48.505855","32.221305","AT","AT-PA","44.75538889","38.21327778","0.5","0.5"
"CB2","CB2-MRP","48.505855","32.221305","B","B-B","54.40972222","28.64277778","0.625","0.375"
"CB2","CB2-MRP","48.505855","32.221305","BC","BC-D","53.332575","36.7631","0.5","0.5"
"CB2","CB2-MRP","48.505855","32.221305","CA","CA-PABW","51.445895","35.60760056","0.375","0.625"
"CB2","CB2-MRP","48.505855","32.221305","CB1","CB1-PBW","49.9787","35.7806","0.75","0.25"
"CB2","CB2-MRP","48.505855","32.221305","CB2","CB2-BBP","48.505855","32.221305","0.625","0.375"
"CB2","CB2-MRP","48.505855","32.221305","CB2","CB2-BCP","48.505855","32.221305","0.625","0.375"
"CB2","CB2-MRP","48.505855","32.221305","CB2","CB2-MCP","48.505855","32.221305","0.428571428571429","0.571428571428571"
"CB2","CB2-PB","48.505855","32.221305","AK","AK-JPA","47.32492222","32.55781389","0.125","0.875"
"CB2","CB2-PB","48.505855","32.221305","AR","AR-SW","53.40545556","29.86275833","0.5","0.5"
"CB2","CB2-PB","48.505855","32.221305","AT","AT-PA","44.75538889","38.21327778","0.454545454545455","0.545454545454545"
"CB2","CB2-PB","48.505855","32.221305","B","B-B","54.40972222","28.64277778","0.555555555555556","0.444444444444444"
"CB2","CB2-PB","48.505855","32.221305","BC","BC-D","53.332575","36.7631","0.25","0.75"
"CB2","CB2-PB","48.505855","32.221305","CA","CA-PABW","51.445895","35.60760056","0.125","0.875"
"CB2","CB2-PB","48.505855","32.221305","CB1","CB1-PBW","49.9787","35.7806","0.5","0.5"
"CB2","CB2-PB","48.505855","32.221305","CB2","CB2-BBP","48.505855","32.221305","0.375","0.625"
