"S1Code","S1long","S1lat","S2Code","S2long","S2lat","JacDissim","JacSim"
"B","54.40972222","28.64277778","AR","53.40545556","29.86275833","1","0"
"H","53.51537389","30.50747583","AR","53.40545556","29.86275833","1","0"
"H","53.51537389","30.50747583","B","54.40972222","28.64277778","0.777777777777778","0.222222222222222"
"KH","52.06511333","29.88179778","AR","53.40545556","29.86275833","0.923076923076923","0.076923076923077"
"KH","52.06511333","29.88179778","B","54.40972222","28.64277778","0.933333333333333","0.0666666666666667"
"KH","52.06511333","29.88179778","H","53.51537389","30.50747583","0.764705882352941","0.235294117647059"
"MS10","51.32983333","30.35716667","AR","53.40545556","29.86275833","1","0"
"MS10","51.32983333","30.35716667","B","54.40972222","28.64277778","0.666666666666667","0.333333333333333"
"MS10","51.32983333","30.35716667","H","53.51537389","30.50747583","0.875","0.125"
"MS10","51.32983333","30.35716667","KH","52.06511333","29.88179778","1","0"
"MS11","51.33366667","30.35426667","AR","53.40545556","29.86275833","1","0"
"MS11","51.33366667","30.35426667","B","54.40972222","28.64277778","0.833333333333333","0.166666666666667"
"MS11","51.33366667","30.35426667","H","53.51537389","30.50747583","0.8125","0.1875"
"MS11","51.33366667","30.35426667","KH","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"MS11","51.33366667","30.35426667","MS10","51.32983333","30.35716667","0.909090909090909","0.0909090909090909"
"MS20","51.33611667","30.353","AR","53.40545556","29.86275833","1","0"
"MS20","51.33611667","30.353","B","54.40972222","28.64277778","0.8","0.2"
"MS20","51.33611667","30.353","H","53.51537389","30.50747583","0.9","0.1"
"MS20","51.33611667","30.353","KH","52.06511333","29.88179778","0.933333333333333","0.0666666666666667"
"MS20","51.33611667","30.353","MS10","51.32983333","30.35716667","1","0"
"MS20","51.33611667","30.353","MS11","51.33366667","30.35426667","0.727272727272727","0.272727272727273"
"TB2","52.59","30.08","AR","53.40545556","29.86275833","1","0"
"TB2","52.59","30.08","B","54.40972222","28.64277778","0.9","0.1"
"TB2","52.59","30.08","H","53.51537389","30.50747583","0.666666666666667","0.333333333333333"
"TB2","52.59","30.08","KH","52.06511333","29.88179778","0.6875","0.3125"
"TB2","52.59","30.08","MS10","51.32983333","30.35716667","0.875","0.125"
"TB2","52.59","30.08","MS11","51.33366667","30.35426667","0.882352941176471","0.117647058823529"
"TB2","52.59","30.08","MS20","51.33611667","30.353","1","0"
