S1Code,S1long,S1lat,S2Code,S2long,S2lat,JacDissim,JacSim
TS4,52.65,29.56138889,AR,53.40545556,29.86275833,0,1
TQA,52.76638889,29.17416667,B,54.40972222,28.64277778,0.25,0.75
TM1,52.96494722,29.81067222,KH,52.06511333,29.88179778,0.307692308,0.692307692
TM2,52.67156944,30.17562222,B,54.40972222,28.64277778,0.333333333,0.666666667
TNU,51.52121667,30.1224,TB2,52.59,30.08,0.357142857,0.642857143
TNU,51.52121667,30.1224,TJ1,52.93935833,29.83546667,0.357142857,0.642857143
TJ1,52.93935833,29.83546667,MS11,51.33366667,30.35426667,0.384615385,0.615384615
TJ2,52.884524,29.944845,B,54.40972222,28.64277778,0.4,0.6
TNU,51.52121667,30.1224,MS11,51.33366667,30.35426667,0.4,0.6
TJ1,52.93935833,29.83546667,TB2,52.59,30.08,0.461538462,0.538461538
TK1,52.50527778,29.58277778,KH,52.06511333,29.88179778,0.5,0.5
TM1,52.96494722,29.81067222,H,53.51537389,30.50747583,0.5,0.5
TQA,52.76638889,29.17416667,TJ2,52.884524,29.944845,0.5,0.5
TQA,52.76638889,29.17416667,TM2,52.67156944,30.17562222,0.5,0.5
TNU,51.52121667,30.1224,KH,52.06511333,29.88179778,0.529411765,0.470588235
TB2,52.59,30.08,KH,52.06511333,29.88179778,0.533333333,0.466666667
TJ2,52.884524,29.944845,MS11,51.33366667,30.35426667,0.545454545,0.454545455
TRA,53.05774722,30.11208333,H,53.51537389,30.50747583,0.555555556,0.444444444
TS1,52.44638889,28.85666667,H,53.51537389,30.50747583,0.555555556,0.444444444
MS11,51.33366667,30.35426667,KH,52.06511333,29.88179778,0.5625,0.4375
TNU,51.52121667,30.1224,TM1,52.96494722,29.81067222,0.5625,0.4375
TS1,52.44638889,28.85666667,TRA,53.05774722,30.11208333,0.571428571,0.428571429
TB2,52.59,30.08,MS11,51.33366667,30.35426667,0.6,0.4
TM2,52.67156944,30.17562222,TJ2,52.884524,29.944845,0.6,0.4
TNU,51.52121667,30.1224,H,53.51537389,30.50747583,0.6,0.4
TJ1,52.93935833,29.83546667,H,53.51537389,30.50747583,0.615384615,0.384615385
TNU,51.52121667,30.1224,TJ2,52.884524,29.944845,0.615384615,0.384615385
TJ1,52.93935833,29.83546667,KH,52.06511333,29.88179778,0.625,0.375
TRA,53.05774722,30.11208333,TK1,52.50527778,29.58277778,0.625,0.375
TJ2,52.884524,29.944845,TJ1,52.93935833,29.83546667,0.636363636,0.363636364
TRA,53.05774722,30.11208333,TB2,52.59,30.08,0.636363636,0.363636364
TRA,53.05774722,30.11208333,TJ1,52.93935833,29.83546667,0.636363636,0.363636364
TS1,52.44638889,28.85666667,TJ1,52.93935833,29.83546667,0.636363636,0.363636364
KH,52.06511333,29.88179778,H,53.51537389,30.50747583,0.666666667,0.333333333
MS10,51.32983333,30.35716667,B,54.40972222,28.64277778,0.666666667,0.333333333
TK1,52.50527778,29.58277778,TB2,52.59,30.08,0.666666667,0.333333333
TM1,52.96494722,29.81067222,TB2,52.59,30.08,0.666666667,0.333333333
TM1,52.96494722,29.81067222,TJ1,52.93935833,29.83546667,0.666666667,0.333333333
TM2,52.67156944,30.17562222,TK2,52.44198611,29.91753611,0.666666667,0.333333333
TQA,52.76638889,29.17416667,H,53.51537389,30.50747583,0.666666667,0.333333333
TRA,53.05774722,30.11208333,B,54.40972222,28.64277778,0.666666667,0.333333333
TS1,52.44638889,28.85666667,B,54.40972222,28.64277778,0.666666667,0.333333333
TM1,52.96494722,29.81067222,MS11,51.33366667,30.35426667,0.6875,0.3125
TK1,52.50527778,29.58277778,MS11,51.33366667,30.35426667,0.692307692,0.307692308
TRA,53.05774722,30.11208333,KH,52.06511333,29.88179778,0.692307692,0.307692308
TJ1,52.93935833,29.83546667,B,54.40972222,28.64277778,0.7,0.3
TB2,52.59,30.08,H,53.51537389,30.50747583,0.714285714,0.285714286
TRA,53.05774722,30.11208333,TNU,51.52121667,30.1224,0.714285714,0.285714286
TRA,53.05774722,30.11208333,TQA,52.76638889,29.17416667,0.714285714,0.285714286
TS1,52.44638889,28.85666667,TNU,51.52121667,30.1224,0.714285714,0.285714286
TS1,52.44638889,28.85666667,TQA,52.76638889,29.17416667,0.714285714,0.285714286
MS11,51.33366667,30.35426667,B,54.40972222,28.64277778,0.727272727,0.272727273
TQA,52.76638889,29.17416667,TJ1,52.93935833,29.83546667,0.727272727,0.272727273
MS11,51.33366667,30.35426667,H,53.51537389,30.50747583,0.733333333,0.266666667
TNU,51.52121667,30.1224,TK1,52.50527778,29.58277778,0.733333333,0.266666667
TJ2,52.884524,29.944845,TB2,52.59,30.08,0.75,0.25
TK2,52.44198611,29.91753611,B,54.40972222,28.64277778,0.75,0.25
TK2,52.44198611,29.91753611,MS20,51.33611667,30.353,0.75,0.25
TQA,52.76638889,29.17416667,MS10,51.32983333,30.35716667,0.75,0.25
TQA,52.76638889,29.17416667,MS11,51.33366667,30.35426667,0.75,0.25
TRA,53.05774722,30.11208333,TJ2,52.884524,29.944845,0.75,0.25
TRA,53.05774722,30.11208333,TM1,52.96494722,29.81067222,0.75,0.25
TS1,52.44638889,28.85666667,TB2,52.59,30.08,0.75,0.25
TS1,52.44638889,28.85666667,TJ2,52.884524,29.944845,0.75,0.25
TS1,52.44638889,28.85666667,TM1,52.96494722,29.81067222,0.75,0.25
TK1,52.50527778,29.58277778,TJ1,52.93935833,29.83546667,0.769230769,0.230769231
TM1,52.96494722,29.81067222,TK1,52.50527778,29.58277778,0.769230769,0.230769231
TNU,51.52121667,30.1224,B,54.40972222,28.64277778,0.769230769,0.230769231
TRA,53.05774722,30.11208333,MS11,51.33366667,30.35426667,0.769230769,0.230769231
TS1,52.44638889,28.85666667,MS11,51.33366667,30.35426667,0.769230769,0.230769231
H,53.51537389,30.50747583,B,54.40972222,28.64277778,0.777777778,0.222222222
TK1,52.50527778,29.58277778,TJ2,52.884524,29.944845,0.777777778,0.222222222
TS1,52.44638889,28.85666667,TK1,52.50527778,29.58277778,0.777777778,0.222222222
TQA,52.76638889,29.17416667,TNU,51.52121667,30.1224,0.785714286,0.214285714
TS1,52.44638889,28.85666667,KH,52.06511333,29.88179778,0.785714286,0.214285714
TJ2,52.884524,29.944845,MS10,51.32983333,30.35716667,0.8,0.2
TM1,52.96494722,29.81067222,TK2,52.44198611,29.91753611,0.8,0.2
TM2,52.67156944,30.17562222,TJ1,52.93935833,29.83546667,0.8,0.2
TQA,52.76638889,29.17416667,TK2,52.44198611,29.91753611,0.8,0.2
TRA,53.05774722,30.11208333,MS10,51.32983333,30.35716667,0.8,0.2
TS1,52.44638889,28.85666667,MS10,51.32983333,30.35716667,0.8,0.2
TJ2,52.884524,29.944845,H,53.51537389,30.50747583,0.818181818,0.181818182
TK2,52.44198611,29.91753611,MS11,51.33366667,30.35426667,0.818181818,0.181818182
