"S1Code","S1long","S1lat","S2Code","S2long","S2lat","JacDissim","JacSim"
"H","53.51537389","36.99444444","TS1","52.44638889","52.44638889","0.846153846153846","0.153846153846154"
"TK2","52.44198611","29.91753611","TS1","52.44638889","52.44638889","0.833333333333333","0.166666666666667"
"TK2","52.44198611","29.91753611","H","53.51537389","53.51537389","0.909090909090909","0.0909090909090909"
"TS4","52.65","29.56138889","TS1","52.44638889","52.44638889","1","0"
"TS4","52.65","29.56138889","H","53.51537389","53.51537389","1","0"
"TS4","52.65","29.56138889","TK2","52.44198611","52.44198611","1","0"
"MS10","51.32983333","30.35716667","TS1","52.44638889","52.44638889","0.833333333333333","0.166666666666667"
"MS10","51.32983333","30.35716667","H","53.51537389","53.51537389","0.909090909090909","0.0909090909090909"
"MS10","51.32983333","30.35716667","TK2","52.44198611","52.44198611","1","0"
"MS10","51.32983333","30.35716667","TS4","52.65","52.65","1","0"
"MS11","51.33366667","30.35426667","TS1","52.44638889","52.44638889","0.785714285714286","0.214285714285714"
"MS11","51.33366667","30.35426667","H","53.51537389","53.51537389","0.842105263157895","0.157894736842105"
"MS11","51.33366667","30.35426667","TK2","52.44198611","52.44198611","0.833333333333333","0.166666666666667"
"MS11","51.33366667","30.35426667","TS4","52.65","52.65","1","0"
"MS11","51.33366667","30.35426667","MS10","51.32983333","51.32983333","0.923076923076923","0.076923076923077"
"MS20","51.33611667","30.353","TS1","52.44638889","52.44638889","0.857142857142857","0.142857142857143"
"MS20","51.33611667","30.353","H","53.51537389","53.51537389","0.916666666666667","0.0833333333333334"
"MS20","51.33611667","30.353","TK2","52.44198611","52.44198611","0.75","0.25"
"MS20","51.33611667","30.353","TS4","52.65","52.65","1","0"
"MS20","51.33611667","30.353","MS10","51.32983333","51.32983333","1","0"
"MS20","51.33611667","30.353","MS11","51.33366667","51.33366667","0.75","0.25"
"TM2","52.884524","29.944845","TS1","52.44638889","52.44638889","0.666666666666667","0.333333333333333"
"TM2","52.884524","29.944845","H","53.51537389","53.51537389","0.916666666666667","0.0833333333333334"
"TM2","52.884524","29.944845","TK2","52.44198611","52.44198611","0.75","0.25"
"TM2","52.884524","29.944845","TS4","52.65","52.65","1","0"
"TM2","52.884524","29.944845","MS10","51.32983333","51.32983333","1","0"
"TM2","52.884524","29.944845","MS11","51.33366667","51.33366667","0.928571428571429","0.0714285714285714"
"TM2","52.884524","29.944845","MS20","51.33611667","51.33611667","0.8","0.2"
"KH","52.06511333","29.88179778","TS1","52.44638889","52.44638889","0.866666666666667","0.133333333333333"
"KH","52.06511333","29.88179778","H","53.51537389","53.51537389","0.842105263157895","0.157894736842105"
"KH","52.06511333","29.88179778","TK2","52.44198611","52.44198611","0.833333333333333","0.166666666666667"
"KH","52.06511333","29.88179778","TS4","52.65","52.65","0.916666666666667","0.0833333333333334"
"KH","52.06511333","29.88179778","MS10","51.32983333","51.32983333","1","0"
"KH","52.06511333","29.88179778","MS11","51.33366667","51.33366667","0.666666666666667","0.333333333333333"
"KH","52.06511333","29.88179778","MS20","51.33611667","51.33611667","0.928571428571429","0.0714285714285714"
"KH","52.06511333","29.88179778","TM2","52.884524","52.884524","0.928571428571429","0.0714285714285714"
"TM1","52.96494722","29.81067222","TS1","52.44638889","52.44638889","0.846153846153846","0.153846153846154"
"TM1","52.96494722","29.81067222","H","53.51537389","53.51537389","0.75","0.25"
"TM1","52.96494722","29.81067222","TK2","52.44198611","52.44198611","0.909090909090909","0.0909090909090909"
"TM1","52.96494722","29.81067222","TS4","52.65","52.65","1","0"
"TM1","52.96494722","29.81067222","MS10","51.32983333","51.32983333","0.909090909090909","0.0909090909090909"
"TM1","52.96494722","29.81067222","MS11","51.33366667","51.33366667","0.842105263157895","0.157894736842105"
"TM1","52.96494722","29.81067222","MS20","51.33611667","51.33611667","0.916666666666667","0.0833333333333334"
"TM1","52.96494722","29.81067222","TM2","52.884524","52.884524","0.916666666666667","0.0833333333333334"
"TM1","52.96494722","29.81067222","KH","52.06511333","52.06511333","0.842105263157895","0.157894736842105"
"TM1B","52.96494722","29.81067222","TS1","52.44638889","52.44638889","0.888888888888889","0.111111111111111"
"TM1B","52.96494722","29.81067222","H","53.51537389","53.51537389","0.636363636363636","0.363636363636364"
"TM1B","52.96494722","29.81067222","TK2","52.44198611","52.44198611","0.833333333333333","0.166666666666667"
"TM1B","52.96494722","29.81067222","TS4","52.65","52.65","1","0"
"TM1B","52.96494722","29.81067222","MS10","51.32983333","51.32983333","1","0"
"TM1B","52.96494722","29.81067222","MS11","51.33366667","51.33366667","0.9375","0.0625"
"TM1B","52.96494722","29.81067222","MS20","51.33611667","51.33611667","0.857142857142857","0.142857142857143"
"TM1B","52.96494722","29.81067222","TM2","52.884524","52.884524","0.857142857142857","0.142857142857143"
"TM1B","52.96494722","29.81067222","KH","52.06511333","52.06511333","0.785714285714286","0.214285714285714"
"TM1B","52.96494722","29.81067222","TM1","52.96494722","52.96494722","0.846153846153846","0.153846153846154"
"TJ1","52.93935833","29.83546667","TS1","52.44638889","52.44638889","0.785714285714286","0.214285714285714"
"TJ1","52.93935833","29.83546667","H","53.51537389","53.51537389","0.777777777777778","0.222222222222222"
"TJ1","52.93935833","29.83546667","TK2","52.44198611","52.44198611","0.923076923076923","0.076923076923077"
"TJ1","52.93935833","29.83546667","TS4","52.65","52.65","1","0"
"TJ1","52.93935833","29.83546667","MS10","51.32983333","51.32983333","0.923076923076923","0.076923076923077"
"TJ1","52.93935833","29.83546667","MS11","51.33366667","51.33366667","0.736842105263158","0.263157894736842"
"TJ1","52.93935833","29.83546667","MS20","51.33611667","51.33611667","0.846153846153846","0.153846153846154"
"TJ1","52.93935833","29.83546667","TM2","52.884524","52.884524","0.846153846153846","0.153846153846154"
"TJ1","52.93935833","29.83546667","KH","52.06511333","52.06511333","0.736842105263158","0.263157894736842"
"TJ1","52.93935833","29.83546667","TM1","52.96494722","52.96494722","0.842105263157895","0.157894736842105"
"TJ1","52.93935833","29.83546667","TM1B","52.96494722","52.96494722","0.866666666666667","0.133333333333333"
"TJK1","52.50527778","29.58277778","TS1","52.44638889","52.44638889","0.909090909090909","0.0909090909090909"
"TJK1","52.50527778","29.58277778","H","53.51537389","53.51537389","0.9375","0.0625"
"TJK1","52.50527778","29.58277778","TK2","52.44198611","52.44198611","1","0"
"TJK1","52.50527778","29.58277778","TS4","52.65","52.65","1","0"
"TJK1","52.50527778","29.58277778","MS10","51.32983333","51.32983333","1","0"
"TJK1","52.50527778","29.58277778","MS11","51.33366667","51.33366667","0.882352941176471","0.117647058823529"
"TJK1","52.50527778","29.58277778","MS20","51.33611667","51.33611667","1","0"
"TJK1","52.50527778","29.58277778","TM2","52.884524","52.884524","1","0"
"TJK1","52.50527778","29.58277778","KH","52.06511333","52.06511333","0.642857142857143","0.357142857142857"
"TJK1","52.50527778","29.58277778","TM1","52.96494722","52.96494722","0.9375","0.0625"
"TJK1","52.50527778","29.58277778","TM1B","52.96494722","52.96494722","0.909090909090909","0.0909090909090909"
"TJK1","52.50527778","29.58277778","TJ1","52.93935833","52.93935833","0.882352941176471","0.117647058823529"
"TNU","51.52121667","30.1224","TS1","52.44638889","52.44638889","0.823529411764706","0.176470588235294"
"TNU","51.52121667","30.1224","H","53.51537389","53.51537389","0.75","0.25"
"TNU","51.52121667","30.1224","TK2","52.44198611","52.44198611","0.9375","0.0625"
"TNU","51.52121667","30.1224","TS4","52.65","52.65","1","0"
"TNU","51.52121667","30.1224","MS10","51.32983333","51.32983333","0.9375","0.0625"
"TNU","51.52121667","30.1224","MS11","51.33366667","51.33366667","0.578947368421053","0.421052631578947"
"TNU","51.52121667","30.1224","MS20","51.33611667","51.33611667","0.875","0.125"
"TNU","51.52121667","30.1224","TM2","52.884524","52.884524","0.875","0.125"
"TNU","51.52121667","30.1224","KH","52.06511333","52.06511333","0.714285714285714","0.285714285714286"
"TNU","51.52121667","30.1224","TM1","52.96494722","52.96494722","0.80952380952381","0.19047619047619"
"TNU","51.52121667","30.1224","TM1B","52.96494722","52.96494722","0.75","0.25"
"TNU","51.52121667","30.1224","TJ1","52.93935833","52.93935833","0.578947368421053","0.421052631578947"
"TNU","51.52121667","30.1224","TJK1","52.50527778","52.50527778","0.842105263157895","0.157894736842105"
"TQA","52.76638889","29.17416667","TS1","52.44638889","52.44638889","0.75","0.25"
"TQA","52.76638889","29.17416667","H","53.51537389","53.51537389","0.846153846153846","0.153846153846154"
"TQA","52.76638889","29.17416667","TK2","52.44198611","52.44198611","0.833333333333333","0.166666666666667"
"TQA","52.76638889","29.17416667","TS4","52.65","52.65","1","0"
"TQA","52.76638889","29.17416667","MS10","51.32983333","51.32983333","0.833333333333333","0.166666666666667"
"TQA","52.76638889","29.17416667","MS11","51.33366667","51.33366667","0.866666666666667","0.133333333333333"
"TQA","52.76638889","29.17416667","MS20","51.33611667","51.33611667","0.857142857142857","0.142857142857143"
"TQA","52.76638889","29.17416667","TM2","52.884524","52.884524","0.666666666666667","0.333333333333333"
"TQA","52.76638889","29.17416667","KH","52.06511333","52.06511333","0.9375","0.0625"
"TQA","52.76638889","29.17416667","TM1","52.96494722","52.96494722","0.846153846153846","0.153846153846154"
"TQA","52.76638889","29.17416667","TM1B","52.96494722","52.96494722","0.888888888888889","0.111111111111111"
"TQA","52.76638889","29.17416667","TJ1","52.93935833","52.93935833","0.785714285714286","0.214285714285714"
"TQA","52.76638889","29.17416667","TJK1","52.50527778","52.50527778","1","0"
"TQA","52.76638889","29.17416667","TNU","51.52121667","51.52121667","0.823529411764706","0.176470588235294"
"B","54.40972222","28.64277778","TS1","52.44638889","52.44638889","0.666666666666667","0.333333333333333"
"B","54.40972222","28.64277778","H","53.51537389","53.51537389","0.818181818181818","0.181818181818182"
"B","54.40972222","28.64277778","TK2","52.44198611","52.44198611","0.75","0.25"
"B","54.40972222","28.64277778","TS4","52.65","52.65","1","0"
"B","54.40972222","28.64277778","MS10","51.32983333","51.32983333","0.75","0.25"
"B","54.40972222","28.64277778","MS11","51.33366667","51.33366667","0.846153846153846","0.153846153846154"
"B","54.40972222","28.64277778","MS20","51.33611667","51.33611667","0.8","0.2"
"B","54.40972222","28.64277778","TM2","52.884524","52.884524","0.5","0.5"
"B","54.40972222","28.64277778","KH","52.06511333","52.06511333","0.928571428571429","0.0714285714285714"
"B","54.40972222","28.64277778","TM1","52.96494722","52.96494722","0.818181818181818","0.181818181818182"
"B","54.40972222","28.64277778","TM1B","52.96494722","52.96494722","0.857142857142857","0.142857142857143"
"B","54.40972222","28.64277778","TJ1","52.93935833","52.93935833","0.75","0.25"
"B","54.40972222","28.64277778","TJK1","52.50527778","52.50527778","1","0"
"B","54.40972222","28.64277778","TNU","51.52121667","51.52121667","0.8","0.2"
"B","54.40972222","28.64277778","TQA","52.76638889","52.76638889","0.4","0.6"
"TJ2","52.884524","29.944845","TS1","52.44638889","52.44638889","0.777777777777778","0.222222222222222"
"TJ2","52.884524","29.944845","H","53.51537389","53.51537389","0.933333333333333","0.0666666666666667"
"TJ2","52.884524","29.944845","TK2","52.44198611","52.44198611","1","0"
"TJ2","52.884524","29.944845","TS4","52.65","52.65","1","0"
"TJ2","52.884524","29.944845","MS10","51.32983333","51.32983333","0.857142857142857","0.142857142857143"
"TJ2","52.884524","29.944845","MS11","51.33366667","51.33366667","0.714285714285714","0.285714285714286"
"TJ2","52.884524","29.944845","MS20","51.33611667","51.33611667","0.875","0.125"
"TJ2","52.884524","29.944845","TM2","52.884524","52.884524","0.714285714285714","0.285714285714286"
"TJ2","52.884524","29.944845","KH","52.06511333","52.06511333","0.875","0.125"
"TJ2","52.884524","29.944845","TM1","52.96494722","52.96494722","0.933333333333333","0.0666666666666667"
"TJ2","52.884524","29.944845","TM1B","52.96494722","52.96494722","1","0"
"TJ2","52.884524","29.944845","TJ1","52.93935833","52.93935833","0.8","0.2"
"TJ2","52.884524","29.944845","TJK1","52.50527778","52.50527778","0.916666666666667","0.0833333333333334"
"TJ2","52.884524","29.944845","TNU","51.52121667","51.52121667","0.764705882352941","0.235294117647059"
"TJ2","52.884524","29.944845","TQA","52.76638889","52.76638889","0.777777777777778","0.222222222222222"
"TJ2","52.884524","29.944845","B","54.40972222","54.40972222","0.714285714285714","0.285714285714286"
"AR","53.40545556","29.86275833","TS1","52.44638889","52.44638889","1","0"
"AR","53.40545556","29.86275833","H","53.51537389","53.51537389","1","0"
"AR","53.40545556","29.86275833","TK2","52.44198611","52.44198611","1","0"
"AR","53.40545556","29.86275833","TS4","52.65","52.65","0","1"
"AR","53.40545556","29.86275833","MS10","51.32983333","51.32983333","1","0"
