"S1Code","S1long","S1lat","S2Code","S2long","S2lat","JacDissim","JacSim"
"H","53.51537389","30.50747583","AR","53.40545556","29.86275833","0.777777777777778","0.222222222222222"
"KH","52.06511333","29.88179778","AR","53.40545556","29.86275833","0.5","0.5"
"KH","52.06511333","29.88179778","H","53.51537389","30.50747583","0.636363636363636","0.363636363636364"
"MS10","51.32983333","30.35716667","AR","53.40545556","29.86275833","0.625","0.375"
"MS10","51.32983333","30.35716667","H","53.51537389","30.50747583","0.727272727272727","0.272727272727273"
"MS10","51.32983333","30.35716667","KH","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"MS11","51.33366667","30.35426667","AR","53.40545556","29.86275833","0.625","0.375"
"MS11","51.33366667","30.35426667","H","53.51537389","30.50747583","0.727272727272727","0.272727272727273"
"MS11","51.33366667","30.35426667","KH","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"MS11","51.33366667","30.35426667","MS10","51.32983333","30.35716667","0","1"
"MS20","51.33611667","30.353","AR","53.40545556","29.86275833","0.2","0.8"
"MS20","51.33611667","30.353","H","53.51537389","30.50747583","0.8","0.2"
"MS20","51.33611667","30.353","KH","52.06511333","29.88179778","0.375","0.625"
"MS20","51.33611667","30.353","MS10","51.32983333","30.35716667","0.5","0.5"
"MS20","51.33611667","30.353","MS11","51.33366667","30.35426667","0.5","0.5"
"TJ1","52.93935833","29.83546667","AR","53.40545556","29.86275833","0.428571428571429","0.571428571428571"
"TJ1","52.93935833","29.83546667","H","53.51537389","30.50747583","0.6","0.4"
"TJ1","52.93935833","29.83546667","KH","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TJ1","52.93935833","29.83546667","MS10","51.32983333","30.35716667","0.6","0.4"
"TJ1","52.93935833","29.83546667","MS11","51.33366667","30.35426667","0.6","0.4"
"TJ1","52.93935833","29.83546667","MS20","51.33611667","30.353","0.285714285714286","0.714285714285714"
"TK1","52.50527778","29.58277778","AR","53.40545556","29.86275833","0.5","0.5"
"TK1","52.50527778","29.58277778","H","53.51537389","30.50747583","0.75","0.25"
"TK1","52.50527778","29.58277778","KH","52.06511333","29.88179778","0.222222222222222","0.777777777777778"
"TK1","52.50527778","29.58277778","MS10","51.32983333","30.35716667","0.333333333333333","0.666666666666667"
"TK1","52.50527778","29.58277778","MS11","51.33366667","30.35426667","0.333333333333333","0.666666666666667"
"TK1","52.50527778","29.58277778","MS20","51.33611667","30.353","0.375","0.625"
"TK1","52.50527778","29.58277778","TJ1","52.93935833","29.83546667","0.5","0.5"
"TM1","52.96494722","29.81067222","AR","53.40545556","29.86275833","0.555555555555556","0.444444444444444"
"TM1","52.96494722","29.81067222","H","53.51537389","30.50747583","0.545454545454545","0.454545454545455"
"TM1","52.96494722","29.81067222","KH","52.06511333","29.88179778","0.3","0.7"
"TM1","52.96494722","29.81067222","MS10","51.32983333","30.35716667","0.545454545454545","0.454545454545455"
"TM1","52.96494722","29.81067222","MS11","51.33366667","30.35426667","0.545454545454545","0.454545454545455"
"TM1","52.96494722","29.81067222","MS20","51.33611667","30.353","0.444444444444444","0.555555555555556"
"TM1","52.96494722","29.81067222","TJ1","52.93935833","29.83546667","0.4","0.6"
"TM1","52.96494722","29.81067222","TK1","52.50527778","29.58277778","0.454545454545455","0.545454545454545"
"TK2","52.44198611","29.91753611","AR","53.40545556","29.86275833","0.4","0.6"
"TK2","52.44198611","29.91753611","H","53.51537389","30.50747583","0.625","0.375"
"TK2","52.44198611","29.91753611","KH","52.06511333","29.88179778","0.5","0.5"
"TK2","52.44198611","29.91753611","MS10","51.32983333","30.35716667","0.428571428571429","0.571428571428571"
"TK2","52.44198611","29.91753611","MS11","51.33366667","30.35426667","0.428571428571429","0.571428571428571"
"TK2","52.44198611","29.91753611","MS20","51.33611667","30.353","0.5","0.5"
"TK2","52.44198611","29.91753611","TJ1","52.93935833","29.83546667","0.625","0.375"
"TK2","52.44198611","29.91753611","TK1","52.50527778","29.58277778","0.5","0.5"
"TK2","52.44198611","29.91753611","TM1","52.96494722","29.81067222","0.555555555555556","0.444444444444444"
"TRA","53.05774722","30.11208333","AR","53.40545556","29.86275833","0.555555555555556","0.444444444444444"
"TRA","53.05774722","30.11208333","H","53.51537389","30.50747583","0.222222222222222","0.777777777777778"
"TRA","53.05774722","30.11208333","KH","52.06511333","29.88179778","0.454545454545455","0.545454545454545"
"TRA","53.05774722","30.11208333","MS10","51.32983333","30.35716667","0.666666666666667","0.333333333333333"
"TRA","53.05774722","30.11208333","MS11","51.33366667","30.35426667","0.666666666666667","0.333333333333333"
