"S1Code","S1long","S1lat","S2Code","S2long","S2lat","JacDissim","JacSim"
"H","53.51537389","36.99444444","TS1","52.44638889","52.44638889","0.285714285714286","0.714285714285714"
"TK2","52.44198611","29.91753611","TS1","52.44638889","52.44638889","0.75","0.25"
"TK2","52.44198611","29.91753611","H","53.51537389","53.51537389","0.666666666666667","0.333333333333333"
"TS4","52.65","29.56138889","TS1","52.44638889","52.44638889","0.625","0.375"
"TS4","52.65","29.56138889","H","53.51537389","53.51537389","0.714285714285714","0.285714285714286"
"TS4","52.65","29.56138889","TK2","52.44198611","52.44198611","1","0"
"MS10","51.32983333","30.35716667","TS1","52.44638889","52.44638889","0.4","0.6"
"MS10","51.32983333","30.35716667","H","53.51537389","53.51537389","0.6","0.4"
"MS10","51.32983333","30.35716667","TK2","52.44198611","52.44198611","0.8","0.2"
"MS10","51.32983333","30.35716667","TS4","52.65","52.65","0.7","0.3"
"MS11","51.33366667","30.35426667","TS1","52.44638889","52.44638889","0.75","0.25"
"MS11","51.33366667","30.35426667","H","53.51537389","53.51537389","0.666666666666667","0.333333333333333"
"MS11","51.33366667","30.35426667","TK2","52.44198611","52.44198611","0.8","0.2"
"MS11","51.33366667","30.35426667","TS4","52.65","52.65","0.833333333333333","0.166666666666667"
"MS11","51.33366667","30.35426667","MS10","51.32983333","51.32983333","0.666666666666667","0.333333333333333"
"MS20","51.33611667","30.353","TS1","52.44638889","52.44638889","0.5","0.5"
"MS20","51.33611667","30.353","H","53.51537389","53.51537389","0.75","0.25"
"MS20","51.33611667","30.353","TK2","52.44198611","52.44198611","0.857142857142857","0.142857142857143"
"MS20","51.33611667","30.353","TS4","52.65","52.65","0.714285714285714","0.285714285714286"
"MS20","51.33611667","30.353","MS10","51.32983333","51.32983333","0.6","0.4"
"MS20","51.33611667","30.353","MS11","51.33366667","51.33366667","0.857142857142857","0.142857142857143"
"TM2","52.884524","29.944845","TS1","52.44638889","52.44638889","0.375","0.625"
"TM2","52.884524","29.944845","H","53.51537389","53.51537389","0.625","0.375"
"TM2","52.884524","29.944845","TK2","52.44198611","52.44198611","0.875","0.125"
"TM2","52.884524","29.944845","TS4","52.65","52.65","0.333333333333333","0.666666666666667"
"TM2","52.884524","29.944845","MS10","51.32983333","51.32983333","0.636363636363636","0.363636363636364"
"TM2","52.884524","29.944845","MS11","51.33366667","51.33366667","0.875","0.125"
"TM2","52.884524","29.944845","MS20","51.33611667","51.33611667","0.428571428571429","0.571428571428571"
"KH","52.06511333","29.88179778","TS1","52.44638889","52.44638889","0.75","0.25"
"KH","52.06511333","29.88179778","H","53.51537389","53.51537389","0.666666666666667","0.333333333333333"
"KH","52.06511333","29.88179778","TK2","52.44198611","52.44198611","0.5","0.5"
"KH","52.06511333","29.88179778","TS4","52.65","52.65","0.833333333333333","0.166666666666667"
"KH","52.06511333","29.88179778","MS10","51.32983333","51.32983333","0.8","0.2"
"KH","52.06511333","29.88179778","MS11","51.33366667","51.33366667","0.8","0.2"
"KH","52.06511333","29.88179778","MS20","51.33611667","51.33611667","0.857142857142857","0.142857142857143"
"KH","52.06511333","29.88179778","TM2","52.884524","52.884524","0.714285714285714","0.285714285714286"
"TM1","52.96494722","29.81067222","TS1","52.44638889","52.44638889","0","1"
"TM1","52.96494722","29.81067222","H","53.51537389","53.51537389","0.285714285714286","0.714285714285714"
"TM1","52.96494722","29.81067222","TK2","52.44198611","52.44198611","0.75","0.25"
"TM1","52.96494722","29.81067222","TS4","52.65","52.65","0.625","0.375"
"TM1","52.96494722","29.81067222","MS10","51.32983333","51.32983333","0.4","0.6"
"TM1","52.96494722","29.81067222","MS11","51.33366667","51.33366667","0.75","0.25"
"TM1","52.96494722","29.81067222","MS20","51.33611667","51.33611667","0.5","0.5"
"TM1","52.96494722","29.81067222","TM2","52.884524","52.884524","0.375","0.625"
"TM1","52.96494722","29.81067222","KH","52.06511333","52.06511333","0.75","0.25"
"TM1B","52.96494722","29.81067222","TS1","52.44638889","52.44638889","0.428571428571429","0.571428571428571"
"TM1B","52.96494722","29.81067222","H","53.51537389","53.51537389","0.2","0.8"
"TM1B","52.96494722","29.81067222","TK2","52.44198611","52.44198611","0.833333333333333","0.166666666666667"
"TM1B","52.96494722","29.81067222","TS4","52.65","52.65","0.666666666666667","0.333333333333333"
"TM1B","52.96494722","29.81067222","MS10","51.32983333","51.32983333","0.555555555555556","0.444444444444444"
"TM1B","52.96494722","29.81067222","MS11","51.33366667","51.33366667","0.6","0.4"
"TM1B","52.96494722","29.81067222","MS20","51.33611667","51.33611667","0.875","0.125"
"TM1B","52.96494722","29.81067222","TM2","52.884524","52.884524","0.75","0.25"
"TM1B","52.96494722","29.81067222","KH","52.06511333","52.06511333","0.833333333333333","0.166666666666667"
"TM1B","52.96494722","29.81067222","TM1","52.96494722","52.96494722","0.428571428571429","0.571428571428571"
"TJ1","52.93935833","29.83546667","TS1","52.44638889","52.44638889","0.625","0.375"
"TJ1","52.93935833","29.83546667","H","53.51537389","53.51537389","0.714285714285714","0.285714285714286"
"TJ1","52.93935833","29.83546667","TK2","52.44198611","52.44198611","1","0"
"TJ1","52.93935833","29.83546667","TS4","52.65","52.65","0","1"
"TJ1","52.93935833","29.83546667","MS10","51.32983333","51.32983333","0.7","0.3"
"TJ1","52.93935833","29.83546667","MS11","51.33366667","51.33366667","0.833333333333333","0.166666666666667"
"TJ1","52.93935833","29.83546667","MS20","51.33611667","51.33611667","0.714285714285714","0.285714285714286"
"TJ1","52.93935833","29.83546667","TM2","52.884524","52.884524","0.333333333333333","0.666666666666667"
"TJ1","52.93935833","29.83546667","KH","52.06511333","52.06511333","0.833333333333333","0.166666666666667"
"TJ1","52.93935833","29.83546667","TM1","52.96494722","52.96494722","0.625","0.375"
"TJ1","52.93935833","29.83546667","TM1B","52.96494722","52.96494722","0.666666666666667","0.333333333333333"
"TJK1","52.50527778","29.58277778","TS1","52.44638889","52.44638889","1","0"
"TJK1","52.50527778","29.58277778","H","53.51537389","53.51537389","1","0"
"TJK1","52.50527778","29.58277778","TK2","52.44198611","52.44198611","0.75","0.25"
"TJK1","52.50527778","29.58277778","TS4","52.65","52.65","1","0"
"TJK1","52.50527778","29.58277778","MS10","51.32983333","51.32983333","0.777777777777778","0.222222222222222"
