S1Ware,JacSim
AK-JPA,0
AK-JPA,0
AK-JPA,0
AK-JPA,0
AK-JPA,0
AK-JPA,0
AK-JPA,0.090909091
AK-JPA,0.090909091
AK-JPA,0.1
AK-JPA,0.1
AK-JPA,0.111111111
AK-JPA,0.111111111
AK-JPA,0.111111111
AK-JPA,0.125
AK-JPA,0.125
AK-JPA,0.125
AK-JPA,0.125
AK-JPA,0.2
AK-JPA,0.2
AK-JPA,0.2
AK-JPA,0.222222222
AK-JPA,0.222222222
AK-JPA,0.222222222
AK-JPA,0.222222222
AK-JPA,0.222222222
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.25
AK-JPA,0.272727273
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.285714286
AK-JPA,0.3
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.333333333
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.375
AK-JPA,0.4
AK-JPA,0.4
AK-JPA,0.4
AK-JPA,0.4
AK-JPA,0.4
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.428571429
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.444444444
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.5
AK-JPA,0.571428571
