Munsell,ISCCNBS,R,G,B,L,a,b
10R 2.5/1,dark reddish gray,69.27423418,57.16583555,55.25915226,25.24884577,4.952372037,3.170617146
10R 2.5/2,grayish reddish brown,77.06743061,54.41948275,50.60994747,25.2413443,9.504288704,6.379146263
10R 2.5/3,moderate reddish brown,83.83962328,51.53851391,46.16256838,25.23312314,13.83961107,9.459242664
10R 2.5/4,moderate reddish brown,89.89393667,48.48990356,41.76281176,25.22439583,17.98490546,12.51013448
10R 2.5/6,moderate reddish brown,100.5690161,41.64265692,32.8667457,25.20537164,25.8779659,18.65943307
10R 2.5/8,strong reddish brown,111.0568935,31.92294849,22.88474811,25.18090016,34.35800848,25.44099692
10R 3/1,dark reddish gray,81.76085281,68.61632177,66.20244426,30.37144709,5.143914833,3.538500337
10R 3/2,grayish reddish brown,90.24065238,65.71803343,60.88220607,30.364227,9.844643933,7.09563964
10R 3/3,moderate reddish brown,97.49463963,62.76215398,55.87025499,30.35642355,14.24224192,10.45548154
10R 3/4,moderate reddish brown,103.9457952,59.69462855,50.94058848,30.34819588,18.4180764,13.76118376
10R 3/6,moderate reddish brown,115.3108506,52.98866018,40.90574136,30.3303853,26.3458557,20.45620139
10R 3/8,strong reddish brown,125.9925722,44.4442466,29.61399214,30.30888581,34.45227119,27.81432882
10R 4/1,dark reddish gray,106.0510625,93.29143725,90.667264,40.73050214,4.647063845,3.386558757
10R 4/2,grayish reddish brown,114.8118633,90.5311337,85.17168242,40.72446313,9.039667004,6.871380251
10R 4/3,moderate reddish brown,122.8995645,87.60350709,79.42048145,40.71790486,13.39131125,10.52154499
10R 4/4,moderate reddish brown,130.1540665,84.62105295,73.58867138,40.7111522,17.5258881,14.2202112
10R 4/6,moderate reddish brown,142.3148484,78.68379275,62.24238997,40.69740155,24.96663744,21.3832122
10R 4/8,dark reddish orange,153.6901959,71.70424647,49.81812738,40.68069094,32.5548208,29.10235787
10R 5/1,reddish gray,130.5783861,119.0660369,116.2517876,50.99941239,3.902068221,3.147315626
10R 5/2,grayish red,139.0019683,116.6064604,110.8139284,50.99491186,7.739003663,6.445645056
10R 5/3,light reddish brown,147.3618473,113.8793631,104.7696224,50.98980488,11.78055004,10.11363163
10R 5/4,light reddish brown,155.2619367,111.0032137,98.43297736,50.98422935,15.82108282,13.95809285
10R 5/6,grayish reddish orange,169.5260916,104.9128936,85.50916859,50.97153149,23.70972273,21.77980264
10R 5/8,moderate reddish orange,182.31227,98.233073,71.95854617,50.95671953,31.42538348,29.89287961
10R 6/1,reddish gray,156.7384551,144.8576976,141.8045784,61.04246874,3.846732416,3.204787722
10R 6/2,light grayish red,165.4870073,142.3808363,136.0913088,61.03839447,7.605307218,6.547677271
10R 6/3,light reddish brown,174.1029286,139.7069517,129.7493092,61.03405562,11.48484762,10.25826772
10R 6/4,light reddish brown,182.1322213,136.971257,123.2466324,61.02946055,15.28435257,14.0619695
10R 6/6,grayish reddish orange,196.1264783,131.511655,110.8885399,61.01921024,22.42086202,21.28434133
10R 6/8,moderate reddish orange,209.3699998,125.3920382,97.76421998,61.00659662,29.75968704,28.91379874
10R 7/1,pinkish gray,182.2663646,171.1195157,168.1196861,70.85745855,3.460392768,2.975405452
10R 7/2,grayish yellowish pink,190.8226049,168.7788267,162.5344569,70.85397022,6.939770558,6.143999413
10R 7/3,moderate yellowish pink,199.7534298,166.140569,155.9886119,70.85018845,10.7120783,9.856738759
10R 7/4,moderate yellowish pink,208.3771416,163.3659037,149.1076219,70.84602325,14.5337382,13.75967676
10R 7/6,moderate yellowish pink,224.0617523,157.6121335,135.6807317,70.8360069,22.05028093,21.37569094
10R 7/8,strong yellowish pink,238.7993551,151.2748907,121.4434466,70.82390636,29.70518957,29.41961427
10R 8/1,pinkish gray,207.175605,197.9659408,195.2588021,80.52453134,2.72689717,2.497271543
10R 8/2,pale yellowish pink,215.2156535,195.8503341,189.9993431,80.52173907,5.818678749,5.400324556
10R 8/3,light yellowish pink,225.9084144,192.8017175,182.436224,80.5175253,10.13409992,9.577497668
10R 8/4,light yellowish pink,236.4070962,189.5326112,174.243027,80.51287741,14.58241287,14.10265623
10R 8/6,light yellowish pink,253.0072664,183.7123121,159.7794198,80.50392091,22.090868,22.08422079
10R 8/8,strong yellowish pink,255,177.2842022,144.4339364,80.49273972,29.83516483,30.52550196
10YR 2.5/1,brownish gray,66.29250448,58.60385111,51.6311096,25.26146398,1.975243982,5.550268694
