Ware Code,LongDD,LatDD,Site,Pottery Identifier
AK-JPA,47.32492222,32.55781389,Ali Kosh,Jaffar Painted
AK-JPL,47.32492222,32.55781389,Ali Kosh,Jaffar Plain
AK-KR,47.32492222,32.55781389,Ali Kosh,Khazineh Red
AR-SW,53.40545556,29.86275833,Arsanjan Cave Sites,Soft Ware
AT-PA,44.75538889,38.21327778,Ahrendjan Tepe,AQT Tradition Painted
AT-PL,44.75538889,38.21327778,Ahrendjan Tepe,AQT Tradition Plain 
B-B,54.40972222,28.64277778,Tol-e Bizdan,Bizdan
BC-D,53.332575,36.7631,Belt Cave,Djeitun
BC-SN,53.332575,36.7631,Belt Cave,Software Neolithic
B-S,54.40972222,28.64277778,Tol-e Bizdan,Single sherd
CA-PABW,51.445895,35.60760056,Cheshmeh Ali,Painted Buff Ware
CA-PLBW,51.445895,35.60760056,Cheshmeh Ali,Plain Buff Ware
CB1-PBW,49.9787,35.7806,Chahar Boneh,Painted Buff Ware
CB1-RW,49.9787,35.7806,Chahar Boneh,Red Ware
CB1-SBW,49.9787,35.7806,Chahar Boneh,Simple Buff Ware
CB2-BBP,48.505855,32.221305,Chogha Bonut,Broad Band-painted
CB2-BCP,48.505855,32.221305,Chogha Bonut,Black-on-Cream Painted
CB2-MCP,48.505855,32.221305,Chogha Bonut,Maroon-on-Cream Painted
CB2-MRP,48.505855,32.221305,Chogha Bonut,Maroon-on-red Painted
CB2-OBP,48.505855,32.221305,Chogha Bonut,Orange Buff Plain
CB2-PB,48.505855,32.221305,Chogha Bonut,Painted-burnished
CB2-RS,48.505855,32.221305,Chogha Bonut,Red-Slipped
CB2-SP,48.505855,32.221305,Chogha Bonut,Smear-painted
CB2-ST,48.505855,32.221305,Chogha Bonut,Straw-tempered Soft Ware
CM-C,48.555928,32.224015,Chogha Mish,Coarse
CM-FRW,48.555928,32.224015,Chogha Mish,Fine Red Washed
CM-PB,48.555928,32.224015,Chogha Mish,Painted-Burnished
CM-RB,48.555928,32.224015,Chogha Mish,Red Banded
CM-S,48.555928,32.224015,Chogha Mish,Smoothed
CM-SRW,48.555928,32.224015,Chogha Mish,Standard Red Washed
CS-BC,47.26,32.62,Chagha Sefid,Sefid Black-on-Cream
CS-BR,47.26,32.62,Chagha Sefid,Sefid Black-on-Red
CS-BU,47.26,32.62,Chagha Sefid,Sefid Burnished
CS-JPA,47.26,32.62,Chagha Sefid,Jaffar Painted
CS-JPL,47.26,32.62,Chagha Sefid,Jaffar Plain
CS-KR,47.26,32.62,Chagha Sefid,Khazineh Red
CS-SRC,47.26,32.62,Chagha Sefid,Sefid Red-on-Cream
DKT-PA,54.98194444,36.53555556,Deh Kheir Tepe,Painted
DKT-PL,54.98194444,36.53555556,Deh Kheir Tepe,Plain
HC-CA,53.332575,36.7631,Hotu Cave,Cheshmeh Ali
HC-CN,53.332575,36.7631,Hotu Cave,Caspian Neolithic
HC-D,53.332575,36.7631,Hotu Cave,Djeitun
HC-T1,53.332575,36.7631,Hotu Cave,Thornton Type 1
HC-T2,53.332575,36.7631,Hotu Cave,Thornton Type 2
HF-24j,45.47444444,36.99444444,Hajji Firuz,Pl 24j
HF-24k,45.47444444,36.99444444,Hajji Firuz,"Pl 24k,l"
HF-B,45.47444444,36.99444444,Hajji Firuz,Burnished
HF-P,45.47444444,36.99444444,Hajji Firuz,Painted
HF-RW,45.47444444,36.99444444,Hajji Firuz,Red-Washed
H-PA,53.51537389,36.99444444,Hormangan,Painted
KH-BB,52.06511333,29.88179778,Kushk-e Hezar,Black on Buff
KH-BBR,52.06511333,29.88179778,Kushk-e Hezar,Black on Buff with Red Slip
KH-BRPW,52.06511333,29.88179778,Kushk-e Hezar,Burnished Red Painted Ware
KH-BW,52.06511333,29.88179778,Kushk-e Hezar,Black on White
KH-MRS,52.06511333,29.88179778,Kushk-e Hezar,Matte Red Slip
KH-RB,52.06511333,29.88179778,Kushk-e Hezar,Red on Buff
KK-PACW,54.86611111,36.3,Khalateh Khan,Painted Chakhmaq Ware
KK-PLCW,54.86611111,36.3,Khalateh Khan,Plain Chakhmaq Ware
MS10,51.32983333,30.35716667,MS10,Common Wares
MS11,51.33366667,30.35426667,MS11,Common Wares
MS1617,51.33256667,30.33931667,MS16 and MS17,Plain
MS20,51.33611667,30.353,MS20,Common Wares
P-BASLIP,54.48638889,36.84861111,Pookerdvall,BASLIP
P-BICHPYS,54.48638889,36.84861111,Pookerdvall,BICHPYS
P-BLAPALB,54.48638889,36.84861111,Pookerdvall,BLAPALB
P-BROPYS,54.48638889,36.84861111,Pookerdvall,BROPYS
P-BROPYT,54.48638889,36.84861111,Pookerdvall,BROPYT
P-BUFFUN,54.48638889,36.84861111,Pookerdvall,BUFFUN
P-CREASPO,54.48638889,36.84861111,Pookerdvall,CREASPO
P-DABRYS,54.48638889,36.84861111,Pookerdvall,DABRYS
P-EABRYS,54.48638889,36.84861111,Pookerdvall,EABRYS
P-POLWAV,54.48638889,36.84861111,Pookerdvall,POLWAV
P-REDBRIT,54.48638889,36.84861111,Pookerdvall,REDBRIT
P-WHOSCOL,54.48638889,36.84861111,Pookerdvall,WHOSCOL
QT-PA,44.75538889,38.21327778,Qara Tepe,AQT Tradition Painted
QT-PL,44.75538889,38.21327778,Qara Tepe,AQT Tradition Plain 
SC-BPW,55.00055556,36.49972222,Sang-e Chakmaq,Black Polished Ware
SC-NP,55.00055556,36.49972222,Sang-e Chakmaq,Neolithic polychrome
SC-T1,55.00055556,36.49972222,Sang-e Chakmaq,Group 1 Tsuneki
SC-T2,55.00055556,36.49972222,Sang-e Chakmaq,Group 2 Tsuneki
TB2-BB,52.59,30.08,Tol-e Bashi,Black on Buff
TB2-BR,52.59,30.08,Tol-e Bashi,Black on Red
TB2-BRB,52.59,30.08,Tol-e Bashi,Black and Red on Buff
TB2-BWB,52.59,30.08,Tol-e Bashi,Black on White Wash
TB2-RBF,52.59,30.08,Tol-e Bashi,Red on Buff
