"Munsell","ISCCNBS","imgRGB.R","imgRGB.G","imgRGB.B","imgRGB.cluster"
"10R 2.5/1","dark reddish gray",69.27423418,57.16583555,55.25915226,"1"
"10R 2.5/2","grayish reddish brown",77.06743061,54.41948275,50.60994747,"1"
"10R 2.5/3","moderate reddish brown",83.83962328,51.53851391,46.16256838,"3"
"10R 2.5/4","moderate reddish brown",89.89393667,48.48990356,41.76281176,"3"
"10R 2.5/6","moderate reddish brown",100.5690161,41.64265692,32.8667457,"3"
"10R 2.5/8","strong reddish brown",111.0568935,31.92294849,22.88474811,"3"
"10R 3/1","dark reddish gray",81.76085281,68.61632177,66.20244426,"1"
"10R 3/2","grayish reddish brown",90.24065238,65.71803343,60.88220607,"1"
"10R 3/3","moderate reddish brown",97.49463963,62.76215398,55.87025499,"3"
"10R 3/4","moderate reddish brown",103.9457952,59.69462855,50.94058848,"3"
"10R 3/6","moderate reddish brown",115.3108506,52.98866018,40.90574136,"3"
"10R 3/8","strong reddish brown",125.9925722,44.4442466,29.61399214,"3"
"10R 4/1","dark reddish gray",106.0510625,93.29143725,90.667264,"2"
"10R 4/2","grayish reddish brown",114.8118633,90.5311337,85.17168242,"2"
"10R 4/3","moderate reddish brown",122.8995645,87.60350709,79.42048145,"2"
"10R 4/4","moderate reddish brown",130.1540665,84.62105295,73.58867138,"2"
"10R 4/6","moderate reddish brown",142.3148484,78.68379275,62.24238997,"2"
"10R 4/8","dark reddish orange",153.6901959,71.70424647,49.81812738,"2"
"10R 5/1","reddish gray",130.5783861,119.0660369,116.2517876,"6"
"10R 5/2","grayish red",139.0019683,116.6064604,110.8139284,"6"
"10R 5/3","light reddish brown",147.3618473,113.8793631,104.7696224,"6"
"10R 5/4","light reddish brown",155.2619367,111.0032137,98.43297736,"6"
"10R 5/6","grayish reddish orange",169.5260916,104.9128936,85.50916859,"6"
"10R 5/8","moderate reddish orange",182.31227,98.233073,71.95854617,"2"
"10R 6/1","reddish gray",156.7384551,144.8576976,141.8045784,"6"
"10R 6/2","light grayish red",165.4870073,142.3808363,136.0913088,"6"
"10R 6/3","light reddish brown",174.1029286,139.7069517,129.7493092,"6"
"10R 6/4","light reddish brown",182.1322213,136.971257,123.2466324,"6"
"10R 6/6","grayish reddish orange",196.1264783,131.511655,110.8885399,"6"
"10R 6/8","moderate reddish orange",209.3699998,125.3920382,97.76421998,"6"
"10R 7/1","pinkish gray",182.2663646,171.1195157,168.1196861,"4"
"10R 7/2","grayish yellowish pink",190.8226049,168.7788267,162.5344569,"4"
"10R 7/3","moderate yellowish pink",199.7534298,166.140569,155.9886119,"4"
"10R 7/4","moderate yellowish pink",208.3771416,163.3659037,149.1076219,"4"
"10R 7/6","moderate yellowish pink",224.0617523,157.6121335,135.6807317,"4"
"10R 7/8","strong yellowish pink",238.7993551,151.2748907,121.4434466,"4"
"10R 8/1","pinkish gray",207.175605,197.9659408,195.2588021,"4"
"10R 8/2","pale yellowish pink",215.2156535,195.8503341,189.9993431,"4"
"10R 8/3","light yellowish pink",225.9084144,192.8017175,182.436224,"4"
"10R 8/4","light yellowish pink",236.4070962,189.5326112,174.243027,"4"
"10R 8/6","light yellowish pink",253.0072664,183.7123121,159.7794198,"4"
"10R 8/8","strong yellowish pink",255,177.2842022,144.4339364,"4"
"10YR 2.5/1","brownish gray",66.29250448,58.60385111,51.6311096,"1"
"10YR 2.5/2","dark grayish yellow brown",71.39872264,57.44671917,43.26273776,"1"
"10YR 2.5/3","dark yellowish brown",75.71967735,56.31104069,34.58413816,"1"
"10YR 2.5/4","dark yellowish brown",79.47937985,55.18977298,24.88473202,"3"
"10YR 2.5/6","deep yellowish brown",85.93742784,52.90244446,0,"5"
"10YR 2.5/8","deep yellowish brown",90.62709472,50.95988813,0,"5"
"10YR 3/1","brownish gray",78.57571382,70.14802354,62.25126383,"1"
"10YR 3/2","dark grayish yellow brown",84.16082177,68.9169697,53.01027375,"1"
"10YR 3/3","dark yellowish brown",88.79207227,67.73225386,43.89899584,"3"
"10YR 3/4","dark yellowish brown",92.73325554,66.59725058,34.34150506,"3"
"10YR 3/6","deep yellowish brown",99.18746839,64.43373984,8.498126136,"5"
"10YR 3/8","deep yellowish brown",103.8028109,62.65149703,0,"5"
"10YR 4/1","brownish gray",103.6495312,94.64789441,85.38729804,"2"
